ogc_fid,cartodb_id,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,GEOMETRY
1,1,,,,0,,,,,,,,"446 Georgetown Rd. Lawrence, Pa. 15055",,,Bioni-Yeckel VFW Post 8308,0,
2,2,,,,0,,,,,,,,"1109 Main St. Burgettstown, PA",Church,,Our Lady of Lourdes,0,
3,3,"Dinner menu is deep-fried cod sandwich, plus macaroni and cheese and cole slaw, or deep-fired cod sandwich with chips and cole slaw. A la carte menu includes fried cod sandwich, baked cod, potato and cheese pierogies, macaroni and cheese, cole slaw and chips.",,0,1,"Fridays of Lent, including Good Friday, 4-7 p.m.",www.olmbss.org,,724-226-4905,,1,,"1526 Union Avenue, Natrona Heights, PA 15065",Church,,"Our Lady of Most Blessed Sacrament, Natrona Heights",1,
4,4,,,,0,,,,,,,,"3171 Churchview Ave. Pittsburgh, PA 15227",Church,,St. Albert the Great (Baldwin),0,
5,8,,,,0,Cannot find any information on web.,http://www.easternareaems.com/,,,,,,"192 11th Street Turtle Creek, PA 15145",,,Eastern Area Prehospital Services,0,
6,9,,,1,1,Free parking available.,www.epiphanychurch.net,,412-471-1008,,,0,"164 Washington Place Pittsburgh, Pa. 15219",Church,McDowell Hall; beneath church,Epiphany (Uptown),1,
7,10,https://www.facebook.com/GreenockVFC/photos/a.624897470873255.23562323.123240447705629/1623149671048025/?type=3&theater,,0,1,,,,412-751-7655,,,,"1002 Greenock Buena Vista Rd. Greenock, PA 15047",Fire Department,,Greenock VFC,1,
8,11,"fried fish sandwich dinner, with french fries and cole slaw, $9; baked fish dinner with baked potato, cole slaw and roll, $9; a la carte menu includes baked or fried fish sandwich and fried or baked fish with no bun, pizza, New England clam chowder and Maryland crab soup. Side dishes include macaroni and cheese, baked potato, french fries and cole slaw.",0,1,1,"ASH WEDNESDAY: MARCH 1, and FRIDAYS:  MARCH 3, 10, 17, 24, 31 and April 7, 14 (Good Friday) 11:00 AM TO 6:30 PM",http://www.holyangelshays.org/fish-fry.html,,412-461-9503,0,1,0,"408 Baldwin Road Pittsburgh, Pa. 15207",Church,,Holy Angels (Hays),1,
9,12,,,1,1,,,,,,1,0,"220 Station St. Bridgeville, PA 15107",Church,School Building,Holy Child (Bridgeville),1,
10,13,See website,0,0,1,"Lenten Fish Fry every Friday from 4:30-7:00 during Lent, including Good Friday",https://www.holysepulcher.org/uploads/media/2017_Fish_Dinner_Flyer_for_Bulletin.pdf,hsc.office@zoominternet.net,724-586-7610,,,,"1304 E. Cruikshank Road Glade Mills, PA",Church,held in the school cafeteria,"Holy Sepulcher, Glade Mills",1,
11,14,,,1,1,"Good Friday only, Take-out:  7 am-6 pm; Eat-in:  11 am-6:30 pm",http://www.holyspiritmillvale.org,office@holyspiritmillvale.org,412-821-4424,,1,,"608 Farragut Street Millvale, PA 15209",Church,,Holy Spirit (Millvale),1,
12,15,,,,1,Ash Wednesday 11a to 7p,https://facebook.com/holyspiritchurch/,19201@diopitt.org,412-346-0477,,,,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",Church,,Holy Spirit (West Mifflin),1,
13,16,"Menu features fried and baked fish dinners, fish tacos, salads, shrimp, cabbage and noodles, cheese pizza, and macaroni and cheese. Cost is $9 for adult dinner, $7 for sandwich.",,1,1,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-7 p.m.",,,724-222- 9737,,1,0,"119 W. Chestnut St., Washington, PA",Church,,"Immaculate Conception, Washington",1,
14,17,,,,0,,,,,,,,"1263 Old State Road Apollo, Pa. 15613",,,Kiski Township Fire Department #1,0,
15,18,"Menu includes baked or fried fish dinners and a la carte items, including fish, eggplant, haluski, macaroni and cheese, pasta e fagioli, applesauce, roll and beverage. ",,1,1,For takeout call 412-271-3959,www.madonnadelcastello.org,,412-271-5666,,1,0,2021 South Braddock Ave,Church,In Social Hall,"Madonna del Castello, Swissvale",1,
16,19,,,1,1,,http://www.namcatholicchurch.org/2017-fish-fry-menu.html,Office@namcatholicchurch.org,412-372-9771,,1,0,"2526 Haymaker Road Monroeville, PA",Church,,"North American Martyrs Catholic School, Monroeville",1,
17,20,"We are offering both take out and eat in sandwiches and dinners in Kohler Hall.  We have both fr ied and  baked fish, fried shrimp, halushki, pierogies, French fries, fr eshly cooked  vegetables, and homemade desserts. ",0,0,1,,http://www.olof.us/,,412-375-7672,,1,0,"2270 Brodhead Road Hopewell Township, PA",Church,,"Our Lady of Fatima, Hopewell Township",1,
18,21,"Dinner menu features fried and baked fish, shrimp, crab cake, seafood platter. Dinners include drink, dessert, baked potato, roll and cole slaw. A la carte menu includes lobster bisque, macaroni and cheese, pierogies, haluski, pizza, french fries, baked potatoes and more.",,0,1,,http://www.olgscott.org/,,412-279-7070,,1,,"310 Kane Blvd. Scott Township, PA",Church,Conroy Hall (school),"Our Lady of Grace, Scott Township",1,
19,22,"Fried or baked cod sandwich, $7; fried or baked cod a la carte, $7; haluski, $3; grilled cheese, $2; macaroni and cheese, $1;  cole slaw, $1; french fries, $1",,,1,"Ash Wednesday and Fridays of Lent, including Good Friday, 4-7 p.m",http://www.ourladyofjoy.org,,412-795-3388,,,,"2000 O'Block Road Holiday Park, PA",Church,The Fish Fry is in Father Marchukanis Hall.,"Our Lady of Joy, Holiday Park",1,
20,23,,,,0,,,,,,,,"1000 Third Ave. Conway, PA",Church,,"Our Lady of Peace, Conway",0,
21,24,"Dinners include choice of baked or fried monster fish, breaded jumbo shrimp or crab cake dinner, with choice of french fries or pierogies, cole slaw, coffee/lemonade and dessert, for $12.75. Also, baked or fried monster fish sandwich with cole slaw is $9.75, and shrimp in a basket with cole slaw is $9.75. A la carte menu includes french fries, pierogies, haluski, cole slaw, pasta fagioli with bread and more.",,1,1,"Ash Wednesday and Fridays of Lent, including Good Friday, 11:30 a.m.-6 p.m. (3-6 p.m. Good Friday)",,,724-379-7559,,1,0,"1 Park Manor Rd. Donora, PA",Church,,"Our Lady of the Valley, Donora",1,
22,25,,,,0,ASH WEDNESDAY ONLY,http://www.princeofpeacepittsburgh.org/,,,,,,"81 S. 13th St. Pittsburgh, PA",Church,,"Prince of Peace, South Side",0,
23,26,,,,1,,https://www.facebook.com/qorfishfry/,,412-872-5136,,,,"530 Michigan Ave. Glassport, PA",Church,,"Queen of the Rosary, Glassport",1,
24,27,www.raccoonvfd.com/raccoonvfd_fish_fries.php,,,1,,https://www.facebook.com/raccoontwpvfd/,,724-495-6630,,1,,"4061 Patterson Road Aliquippa, PA 15061",Fire Department,,Raccoon Township VFD,1,
25,28,"
Dinners (All Dinners Come with 2 Sides and a Drink):

Hand Breaded Ocean Perch Dinner - $9.00
Fish Sandwich Dinner - $9.00
Shrimp Dinner - $9.00
Clam Strip Dinner - $9.00
Chicken Strip Dinner (4pcs) - $9.00
8oz Fish Sandwich - $6.00
5 Hand Breaded Ocean Perch - $6.00

Sides:
Beer Battered Fries - $2.00
Cole Slaw - $2.00
Pierogi - $3.00 (3 in the Dinner, 4 as a side)
Cabbage and Noodles - $3.00
Mac and Cheese - $3.00
Soup (Eat In Only), March: Clam Chowder, April: Lobster Bisque - $3.00

Other Items:
Side of Shrimp or Clams - $4.00
Side of Chicken Strips (3pcs) - $4.00
Angus Burger - $4.00
Hot Pepper Cheese Balls - $3.00
Breaded Cheese Sticks - $3.00

Condiments: Lettuce, Tomato, Onion, Pickle, Cheese, Ketchup, Mustard, Tartar Sauce, Cocktail Sauce, Hot Sauce, Mayo, Ranch, BBQ, Marinara

Drinks ($1): Coke, Pepsi, Diet Pepsi, Diet Coke, Mountain Dew, Dr. Pepper, Sprite, Water, Coffee",,1,1,,http://rlvfd66.com/,riceslandingvfdco66@yahoo.com,(724) 592-5765,,,0,"66 Bayard Ave. Rices Landing, Pa. 15357",Fire Department,,Rices Landing Volunteer Fire Department,1,
26,29,"Dinners ($10.00 each): - Fried Fish Sandwich - Baked Fish Dinner - Shrimp Dinner - Chicken Strips Dinner All Dinners include: Choice of One - Cabbage & Noodles, Mac & Cheese, French Fries, or Stewed Tomatoes Choice of: Coleslaw or Applesauce Choice of Cake  À la carte: $7.00 - Fish Sandwich, Baked Fish, Shrimp, or Chicken Strips $1.50 - Cabbage & Noodles, Mac & Cheese, French Fries, Stewed Tomatoes $1.00 - Coleslaw or Cake $0.75 - Applesauce",,1,1,,https://www.facebook.com/SewardVFC/,,,,1,,"1230 10th Street Seward, Pa. 15954",,,Seward Volunteer Fire Company Auxiliary,1,
27,30,"Extensive menu includes: fried fish dinner, $8.50; baked fish dinner, $8.50; crab cake dinner, $8.50; shrimp dinner, $8.50 fried fish sandwich, $6.75; baked fish sandwich $6.75; crab cakes, $6.50; shrimp, $6.50; Homemade items are cabbage and noodles; macaroni and cheese, perogies, and baked goods. Other menu items: Pizza, French fries, with and without cheese; fried provolone sticks; fried onion rings; cole slaw; zucchini planks; soup; lobster bisque and more. Also featuring special kids meal for $4.50.",,,1,"The SSJ Fish Fry is back again this year. The event is known locally for serving homemade fresh quality food with generous portions and at great prices! Open on Ash Wednesday and Fridays of Lent from 4PM to 7PM excluding Good Friday. Held in the spacious Parish Life Center gymnasium, 1607 Greentree Road.",http://ssjpittsburgh.org/wp-content/uploads/2017/02/fishfry-flyer.pdf,,412-563-1353,,,,"1607 Greentree Road Scott Township, PA",Church,,"SS. Simon and Jude, Scott Township",1,
28,31,"Menu: fried and baked fish sandwiches and dinners; shrimp dinner; crab cake dinner. Plus, haluski, cole slaw, pierogies, baked macaroni, homemade soups of the day and more.",,1,1,"Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. ",,,412-466-9695,,1,0,"Holy Trinity Church Social Hall, 529 Grant Avenue Ext West Mifflin, PA 15122-3830",Church,,St. Agnes/Holy Trinity,1,
29,32,"Dinner menu: entree (choices of fried or baked fish, fried or baked fish sandwich or shrimp); choice of macaroni and cheese, french fries or baked potato; choice of cole slaw or applesauce; choice of clam chowder or tomato Florentine soup (not included in kids meal); and beverage (no beverage for takeout meals). Cost: $10 for adults, $2 for kids. A la carte items: fried or baked fish sandwich, $6; half-pound fried or baked fish, $6; one-pound fried or baked fish, $11; shrimp basket, $6; and more. Desserts available for additional charge.",,0,1,Ash Wednesday is takeout only. To order takeout call either: 724-759-8659 or 412-799-4042 from 2-7pm. This is the 10th year of this fish fry.,www.fish-fry.org,N/A,724-759-8659,,1,,"201 Church St. Wexford, Pa. 15090",Church,Served in the school cafeteria.,St. Alphonsus (Wexford),1,
30,33,,,,0,,,,,,,,"232 E. High St. Waynesburg, PA",Church,,"St. Ann, Waynesburg",0,
31,34,"Menu: hand-dipped fried or baked cod, with variety of sides. Fish sandwich is $7, plus mix or match two sides for $4. Sides include haluski, pierogies, macaroni and cheese, french fries, cole slaw. Also, Boston clam chowder, crab cakes and bake sale.",,0,1,ATM on site,http://www.saintcolmanchurch.org/,,,,,0,"220 thompson st, Turtle Creek, Pa. 15145",Church,In school cafeteria,"St. Colman, Turtle Creek",1,
